PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,turin,,,,,,,,,,
Location,"TORINO-CASELLE, ITALY",,,,,,,,,,
Latitude (DD),45.18,,,,,,,,,,
Longitude (DD),7.65,,,,,,,,,,
Elevation (m),282,,,,,,,,,,
DC System Size (kW),14.2,,,,,,,,,,
Module Type,Standard,,,,,,,,,,
Array Type,2-Axis Tracking,,,,,,,,,,
Array Tilt (deg),0,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,No (0),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,6,22,0,0,-2.2,0,0.2,0,-2.2,0,0
1,6,23,0,0,-1.8,0,0.2,0,-1.8,0,0
1,7,0,0,0,-1,3,0.2,0,-1,0,0
1,7,1,0,0,0.6,3,0.2,0,0.6,0,0
1,7,2,0,0,2.7,3,0.2,0,2.7,0,0
1,7,3,0,0,5.4,0,0.2,0,5.4,0,0
1,7,4,0,0,3.1,0,0.2,0,3.1,0,0
1,7,5,0,0,-1.3,3,0.2,0,-1.3,0,0
1,7,6,0,0,-8,6,0.2,0,-8,0,0
1,7,7,0,0,-8.9,6,0.2,0,-8.9,0,0
1,7,8,25,9,-8,3,0.2,0,-8,0,0
1,7,9,113,37,-5.4,0,0.2,193.542,2.445,2419.712,2277.689
1,7,10,206,59,-3.8,0,0.2,327.011,9.636,4242.366,4035.76
1,7,11,276,73,-1.9,0,0.2,409.193,14.931,5249.791,5007.488
1,7,12,305,78,0.4,0,0.2,441.383,18.548,5586.215,5331.991
1,7,13,284,75,1.5,0,0.2,415.026,18.563,5245.338,5003.192
1,7,14,219,62,2.2,0,0.2,332.534,15.875,4231.942,4025.705
1,7,15,129,41,2.4,0,0.2,190.161,10.219,2435.646,2293.059
1,7,16,36,14,1.5,0,0.2,61.119,3.992,747.22,664.46
1,7,17,0,0,-0.3,0,0.2,0,0,0,0
1,7,18,0,0,-2.8,0,0.2,0,-2.8,0,0
1,7,19,0,0,-4.1,0,0.2,0,-4.1,0,0
1,7,20,0,0,-5.2,0,0.2,0,-5.2,0,0
1,7,21,0,0,-6,0,0.2,0,-6,0,0
1,7,22,0,0,-6.6,0,0.2,0,-6.6,0,0
1,7,23,0,0,-6.9,0,0.2,0,-6.9,0,0
1,8,0,0,0,-7,0,0.2,0,-7,0,0
1,8,1,0,0,-7.3,0,0.2,0,-7.3,0,0
1,8,2,0,0,-7.6,0,0.2,0,-7.6,0,0
1,8,3,0,0,-7.8,0,0.2,0,-7.8,0,0
1,8,4,0,0,-8.1,0,0.2,0,-8.1,0,0
1,8,5,0,0,-8.4,0,0.2,0,-8.4,0,0
1,8,6,0,0,-8.8,0,0.2,0,-8.8,0,0
1,8,7,0,0,-8.3,0,0.2,0,-8.3,0,0
1,8,8,31,7,-7.4,0,0.2,0,-7.4,0,0
1,8,9,141,27,-6,0,0.2,225.464,3.146,2830.298,2673.727
1,8,10,253,43,-4.6,0,0.2,346.725,9.657,4516.261,4299.949
1,8,11,337,53,-2.9,3,0.2,456.613,6.408,6059.363,5788.373
1,8,12,371,57,-1,6,0.2,493.379,5.68,6558.69,6270.007
1,8,13,347,54,-0.4,6,0.2,463.384,5.874,6150.114,5875.909
1,8,14,271,45,-0.3,6,0.2,373.776,4.762,4971.826,4739.372
1,8,15,161,30,-0.8,6,0.2,225.968,2.26,2998.248,2835.725
1,8,16,48,10,-1.5,6,0.2,78.55,-0.445,988.525,897.215
1,8,17,0,0,-2.6,3,0.2,0,0,0,0
1,8,18,0,0,-4,0,0.2,0,-4,0,0
1,8,19,0,0,-4.9,0,0.2,0,-4.9,0,0
1,8,20,0,0,-5.8,0,0.2,0,-5.8,0,0
1,8,21,0,0,-6.6,0,0.2,0,-6.6,0,0
1,8,22,0,0,-6.8,0,0.2,0,-6.8,0,0
1,8,23,0,0,-6.6,0,0.2,0,-6.6,0,0
1,9,0,0,0,-6,0,0.2,0,-6,0,0
1,9,1,0,0,-6.4,0,0.2,0,-6.4,0,0
1,9,2,0,0,-7.2,0,0.2,0,-7.2,0,0
