Configuration,Total Grid Consumption,Total Cost
s8_d17_wdc800.csv,5270.473,$2.05
s8_d17_wdc900.csv,5249.280999999999,$2.04
s0_d18_wdc100.csv,4325.237154628125,$1.38
s0_d18_wdc1000.csv,3629.344154628125,$1.13
s0_d18_wdc200.csv,4304.034154628125,$1.37
s0_d18_wdc300.csv,4082.828154628125,$1.27
s0_d18_wdc400.csv,4261.623154628125,$1.35
s0_d18_wdc500.csv,5050.418154628125,$1.71
s0_d18_wdc600.csv,4219.214154628125,$1.33
s0_d18_wdc700.csv,3998.108154628125,$1.23
s0_d18_wdc800.csv,3976.917154628125,$1.22
s0_d18_wdc900.csv,3966.1995860424845,$1.22
s12_d18_wdc100.csv,4741.127999999999,$1.51
s12_d18_wdc1000.csv,4669.022999999999,$1.48
s12_d18_wdc200.csv,4642.257,$1.45
s12_d18_wdc300.csv,4723.385999999999,$1.51
s12_d18_wdc400.csv,4674.513999999999,$1.46
s12_d18_wdc500.csv,4665.641999999999,$1.46
s12_d18_wdc600.csv,4606.771,$1.43
s12_d18_wdc700.csv,4597.942999999999,$1.43
s12_d18_wdc800.csv,2669.078,$0.87
s12_d18_wdc900.csv,4670.211999999999,$1.48
s16_d18_wdc100.csv,5368.832301042485,$1.62
s16_d18_wdc1000.csv,5298.562356042485,$1.59
s16_d18_wdc200.csv,5360.603796042485,$1.62
s16_d18_wdc300.csv,5352.374291042484,$1.62
s16_d18_wdc400.csv,5344.144786042484,$1.61
s16_d18_wdc500.csv,5335.915281042485,$1.61
s16_d18_wdc600.csv,5327.686776042485,$1.61
s16_d18_wdc700.csv,5319.494156042484,$1.60
s16_d18_wdc800.csv,5311.270631042485,$1.60
s16_d18_wdc900.csv,5303.047111042484,$1.59
s20_d18_wdc100.csv,4460.330011724772,$1.33
s20_d18_wdc1000.csv,4360.129481555024,$1.27
s20_d18_wdc200.csv,4423.4836492497725,$1.32
s20_d18_wdc300.csv,4196.6382917747715,$1.23
s20_d18_wdc400.csv,4349.791934299772,$1.28
s20_d18_wdc500.csv,3972.9455768247717,$1.15
s20_d18_wdc600.csv,4276.112425465523,$1.25
s20_d18_wdc700.csv,4239.496001850023,$1.23
s20_d18_wdc800.csv,4202.801764661898,$1.22
s20_d18_wdc900.csv,4168.479241273898,$1.20
s4_d18_wdc100.csv,3905.2371546281247,$1.35
s4_d18_wdc1000.csv,3419.344154628125,$1.18
s4_d18_wdc200.csv,3124.4533160424844,$1.09
s4_d18_wdc300.csv,3392.828154628125,$1.19
s4_d18_wdc400.csv,3042.0938260424846,$1.06
s4_d18_wdc500.csv,3050.418154628125,$1.08
s4_d18_wdc600.csv,2589.5863310424843,$0.91
s4_d18_wdc700.csv,3578.108154628125,$1.28
s4_d18_wdc800.csv,3566.917154628125,$1.27
s4_d18_wdc900.csv,3496.1495860424843,$1.23
s8_d18_wdc100.csv,3238.792999999999,$1.23
s8_d18_wdc1000.csv,4202.9,$1.52
s8_d18_wdc200.csv,4307.589999999998,$1.57
s8_d18_wdc300.csv,2766.384,$1.04
s8_d18_wdc400.csv,4015.178999999999,$1.43
s8_d18_wdc500.csv,3913.9739999999993,$1.43
s8_d18_wdc600.csv,3422.769999999999,$1.25
s8_d18_wdc700.csv,3841.663999999999,$1.36
s8_d18_wdc800.csv,5200.472999999998,$1.97
s8_d18_wdc900.csv,2939.280999999999,$1.13
s0_d19_wdc100.csv,4135.972395424772,$1.26
s0_d19_wdc1000.csv,3960.0817091997724,$1.18
s0_d19_wdc200.csv,4114.772416649772,$1.25
s0_d19_wdc300.csv,4093.569442874772,$1.24
s0_d19_wdc400.csv,4072.367464099772,$1.23
s0_d19_wdc500.csv,4051.165480349772,$1.22
s0_d19_wdc600.csv,4029.964501574772,$1.21
s0_d19_wdc700.csv,4008.861502824772,$1.20
s0_d19_wdc800.csv,3987.6735190747722,$1.19
s0_d19_wdc900.csv,3966.484540299772,$1.19
s12_d19_wdc100.csv,3755.315,$1.36
s12_d19_wdc1000.csv,3717.02,$1.34
s12_d19_wdc200.csv,3750.63,$1.36
s12_d19_wdc300.csv,2623.3859999999995,$0.83
s12_d19_wdc400.csv,3741.2619999999997,$1.35
s12_d19_wdc500.csv,3736.577,$1.35
s12_d19_wdc600.csv,2696.7709999999997,$0.90
s12_d19_wdc700.csv,4257.942999999999,$1.30
s12_d19_wdc800.csv,3722.55,$1.34
s12_d19_wdc900.csv,3717.869,$1.34
s16_d19_wdc100.csv,3786.625,$1.35
s16_d19_wdc1000.csv,3671.937,$1.30
s16_d19_wdc200.csv,3773.25,$1.35
s16_d19_wdc300.csv,3759.875,$1.34
s16_d19_wdc400.csv,3746.5,$1.34
s16_d19_wdc500.csv,3733.125,$1.33
s16_d19_wdc600.csv,3719.7500000000005,$1.32
s16_d19_wdc700.csv,3706.4359999999997,$1.32
s16_d19_wdc800.csv,3693.07,$1.31
s16_d19_wdc900.csv,3679.7039999999997,$1.31
s20_d19_wdc100.csv,4557.331011724772,$1.36
s20_d19_wdc1000.csv,2304.376148705023,$0.70
s20_d19_wdc200.csv,4517.485649249773,$1.34
s20_d19_wdc300.csv,4477.641291774771,$1.32
s20_d19_wdc400.csv,4437.795934299772,$1.30
s20_d19_wdc500.csv,4397.950576824773,$1.28
s20_d19_wdc600.csv,4358.118425465524,$1.27
s20_d19_wdc700.csv,4318.518001850023,$1.25
s20_d19_wdc800.csv,3784.775,$1.25
s20_d19_wdc900.csv,3764.122,$1.24
s4_d19_wdc100.csv,4575.237154628125,$1.59
s4_d19_wdc1000.csv,4399.344154628125,$1.51
s4_d19_wdc200.csv,4554.034154628125,$1.58
s4_d19_wdc300.csv,4532.828154628125,$1.57
s4_d19_wdc400.csv,4341.623154628125,$1.50
s4_d19_wdc500.csv,4490.418154628125,$1.55
s4_d19_wdc600.csv,4469.214154628125,$1.54
s4_d19_wdc700.csv,4448.108154628125,$1.53
s4_d19_wdc800.csv,4426.917154628125,$1.52
s4_d19_wdc900.csv,4405.725154628125,$1.51
s8_d19_wdc100.csv,2708.7929999999997,$0.98
s8_d19_wdc1000.csv,3642.8999999999996,$1.28
s8_d19_wdc200.csv,2787.59,$1.03
s8_d19_wdc300.csv,4476.384,$1.57
s8_d19_wdc400.csv,2675.179,$0.99
s8_d19_wdc500.csv,4653.974,$1.65
s8_d19_wdc600.csv,4632.7699999999995,$1.64
s8_d19_wdc700.csv,4611.664,$1.63
s8_d19_wdc800.csv,4370.473,$1.52
s8_d19_wdc900.csv,4439.281,$1.56
s0_d20_wdc100.csv,4455.972395424772,$1.37
s0_d20_wdc1000.csv,4280.081709199772,$1.29
s0_d20_wdc200.csv,4434.772416649772,$1.36
s0_d20_wdc300.csv,4413.569442874772,$1.35
s0_d20_wdc400.csv,4392.367464099772,$1.34
s0_d20_wdc500.csv,3821.165480349772,$1.16
s0_d20_wdc600.csv,4349.964501574772,$1.33
s0_d20_wdc700.csv,4328.861502824771,$1.32
s0_d20_wdc800.csv,4307.673519074772,$1.31
s0_d20_wdc900.csv,4286.484540299773,$1.30
s12_d20_wdc100.csv,3874.327,$1.39
s12_d20_wdc1000.csv,4203.612493749999,$1.23
s12_d20_wdc200.csv,3868.6549999999997,$1.39
s12_d20_wdc300.csv,3862.9840000000004,$1.39
s12_d20_wdc400.csv,3857.3109999999997,$1.39
s12_d20_wdc500.csv,3851.638,$1.38
s12_d20_wdc600.csv,4231.3604937499995,$1.24
s12_d20_wdc700.csv,3840.322,$1.38
s12_d20_wdc800.csv,3834.654,$1.37
s12_d20_wdc900.csv,3828.986,$1.37
s16_d20_wdc100.csv,4128.928011724772,$1.23
s16_d20_wdc1000.csv,3962.485481555023,$1.15
s16_d20_wdc200.csv,5320.678649249772,$1.62
s16_d20_wdc300.csv,4082.430291774772,$1.21
s16_d20_wdc400.csv,4074.1809342997717,$1.20
s16_d20_wdc500.csv,4055.9325768247722,$1.19
s16_d20_wdc600.csv,5247.696425465523,$1.59
s16_d20_wdc700.csv,3669.598001850023,$1.09
s16_d20_wdc800.csv,4001.428086511898,$1.17
s16_d20_wdc900.csv,3983.2571761238983,$1.16
s20_d20_wdc100.csv,4096.358011724772,$1.24
s20_d20_wdc1000.csv,4308.890899955023,$1.27
s20_d20_wdc200.csv,3728.228,$1.31
s20_d20_wdc300.csv,3687.3430000000003,$1.29
s20_d20_wdc400.csv,3646.4570000000003,$1.27
s20_d20_wdc500.csv,3933.084576824772,$1.17
s20_d20_wdc600.csv,3892.279425465523,$1.15
s20_d20_wdc700.csv,3523.982,$1.22
s20_d20_wdc800.csv,4371.047764661898,$1.29
s20_d20_wdc900.csv,4332.755241273898,$1.28
s4_d20_wdc100.csv,3788.7929999999997,$1.29
s4_d20_wdc1000.csv,3827.5150000000003,$1.33
s4_d20_wdc200.csv,3767.59,$1.28
s4_d20_wdc300.csv,2823.098071042484,$0.97
s4_d20_wdc400.csv,2872.3674640997724,$0.99
s4_d20_wdc500.csv,2791.165480349772,$0.98
s4_d20_wdc600.csv,3682.7699999999995,$1.24
s4_d20_wdc700.csv,2668.861502824772,$0.90
s4_d20_wdc800.csv,2587.5408310424846,$0.88
s4_d20_wdc900.csv,2556.3495860424846,$0.86
s8_d20_wdc100.csv,3888.7929999999988,$1.31
s8_d20_wdc1000.csv,2692.9,$0.98
s8_d20_wdc200.csv,2767.5899999999997,$0.99
s8_d20_wdc300.csv,4066.384,$1.35
s8_d20_wdc400.csv,2645.179,$0.95
s8_d20_wdc500.csv,2553.974,$0.91
s8_d20_wdc600.csv,2632.77,$0.94
s8_d20_wdc700.csv,2801.6639999999998,$0.99
s8_d20_wdc800.csv,2510.473,$0.89
s8_d20_wdc900.csv,4119.281,$1.36
s0_d21_wdc100.csv,4775.972395424772,$1.49
s0_d21_wdc1000.csv,3780.0817091997724,$1.12
s0_d21_wdc200.csv,3934.772416649772,$1.19
s0_d21_wdc300.csv,4533.569442874772,$1.40
s0_d21_wdc400.csv,4092.367464099772,$1.24
s0_d21_wdc500.csv,3871.165480349772,$1.16
s0_d21_wdc600.csv,4669.964501574772,$1.44
s0_d21_wdc700.csv,3838.861502824772,$1.16
s0_d21_wdc800.csv,4627.673519074772,$1.42
s0_d21_wdc900.csv,3786.484540299772,$1.12
s12_d21_wdc100.csv,4122.273154628125,$1.22
s12_d21_wdc1000.csv,4224.3571546281255,$1.24
s12_d21_wdc200.csv,3628.1031546281247,$1.09
s12_d21_wdc300.csv,4313.933154628125,$1.28
s12_d21_wdc400.csv,4299.762154628125,$1.28
s12_d21_wdc500.csv,4285.591154628125,$1.27
s12_d21_wdc600.csv,4271.421154628125,$1.26
s12_d21_wdc700.csv,4257.3171546281255,$1.26
s12_d21_wdc800.csv,4243.157154628125,$1.25
s12_d21_wdc900.csv,4228.995154628125,$1.24
s16_d21_wdc100.csv,4326.380011724772,$1.29
s16_d21_wdc1000.csv,3838.757481555023,$1.09
s16_d21_wdc200.csv,4515.582649249773,$1.35
s16_d21_wdc300.csv,4264.787291774772,$1.26
s16_d21_wdc400.csv,4233.989934299771,$1.25
s16_d21_wdc500.csv,4203.193576824772,$1.23
s16_d21_wdc600.csv,4172.409425465523,$1.22
s16_d21_wdc700.csv,4141.816001850023,$1.20
s16_d21_wdc800.csv,4111.105086511898,$1.19
s16_d21_wdc900.csv,4080.3941761238984,$1.18
s20_d21_wdc100.csv,3767.994,$1.35
s20_d21_wdc1000.csv,4188.890899955023,$1.23
s20_d21_wdc200.csv,3755.99,$1.34
s20_d21_wdc300.csv,3743.9840000000004,$1.33
s20_d21_wdc400.csv,3731.979,$1.32
s20_d21_wdc500.csv,4373.084576824772,$1.32
s20_d21_wdc600.csv,4332.279425465524,$1.30
s20_d21_wdc700.csv,4291.7110018500225,$1.28
s20_d21_wdc800.csv,4251.047764661898,$1.26
s20_d21_wdc900.csv,4212.755241273899,$1.24
s4_d21_wdc100.csv,2855.455561042484,$0.98
s4_d21_wdc1000.csv,4380.081709199772,$1.39
s4_d21_wdc200.csv,2724.653316042484,$0.92
s4_d21_wdc300.csv,2783.469442874772,$0.94
s4_d21_wdc400.csv,3748.996,$1.28
s4_d21_wdc500.csv,3741.246,$1.28
s4_d21_wdc600.csv,2619.964501574772,$0.88
s4_d21_wdc700.csv,2808.631081042484,$0.98
s4_d21_wdc800.csv,2597.6735190747722,$0.86
s4_d21_wdc900.csv,2666.3495860424846,$0.89
s8_d21_wdc100.csv,4598.793,$1.51
s8_d21_wdc1000.csv,2542.9,$0.88
s8_d21_wdc200.csv,2787.5899999999997,$0.98
s8_d21_wdc300.csv,2666.384,$0.93
s8_d21_wdc400.csv,2555.1789999999996,$0.89
s8_d21_wdc500.csv,4513.974,$1.47
s8_d21_wdc600.csv,2562.7699999999995,$0.90
s8_d21_wdc700.csv,2581.6639999999998,$0.92
s8_d21_wdc800.csv,2610.473,$0.93
s8_d21_wdc900.csv,2559.281,$0.89
s0_d22_wdc100.csv,3995.972395424772,$1.21
s0_d22_wdc1000.csv,3820.0817091997724,$1.13
s0_d22_wdc200.csv,4194.772416649772,$1.28
s0_d22_wdc300.csv,3953.569442874772,$1.19
s0_d22_wdc400.csv,3932.367464099772,$1.18
s0_d22_wdc500.csv,4131.165480349772,$1.25
s0_d22_wdc600.csv,3889.964501574772,$1.16
s0_d22_wdc700.csv,3868.861502824772,$1.16
s0_d22_wdc800.csv,3847.6735190747722,$1.15
s0_d22_wdc900.csv,3826.484540299772,$1.14
s12_d22_wdc100.csv,3999.960301042484,$1.21
s12_d22_wdc1000.csv,3857.585356042484,$1.14
s12_d22_wdc200.csv,3982.8607960424843,$1.20
s12_d22_wdc300.csv,3965.7602910424844,$1.19
s12_d22_wdc400.csv,3948.6587860424843,$1.18
s12_d22_wdc500.csv,3931.557281042484,$1.18
s12_d22_wdc600.csv,3914.457776042484,$1.17
s12_d22_wdc700.csv,3897.4371560424843,$1.16
s12_d22_wdc800.csv,3880.348631042484,$1.15
s12_d22_wdc900.csv,3863.2591110424846,$1.14
s16_d22_wdc100.csv,3450.330011724772,$1.07
s16_d22_wdc1000.csv,3324.733899955023,$0.97
s16_d22_wdc200.csv,3413.483649249772,$1.05
s16_d22_wdc300.csv,3216.638291774772,$0.99
s16_d22_wdc400.csv,3179.791934299772,$0.98
s16_d22_wdc500.csv,3492.945576824772,$1.05
s16_d22_wdc600.csv,3106.1124254655233,$0.94
s16_d22_wdc700.csv,3229.496001850023,$0.97
s16_d22_wdc800.csv,3382.8017646618982,$1.00
s16_d22_wdc900.csv,2998.4792412738984,$0.89
s20_d22_wdc100.csv,3976.358011724772,$1.19
s20_d22_wdc1000.csv,3628.890899955023,$1.04
s20_d22_wdc200.csv,3405.539649249772,$1.04
s20_d22_wdc300.csv,3894.722291774772,$1.16
s20_d22_wdc400.csv,3513.9039342997726,$1.05
s20_d22_wdc500.csv,3303.084576824772,$0.99
s20_d22_wdc600.csv,3432.279425465523,$1.02
s20_d22_wdc700.csv,3391.711001850023,$1.00
s20_d22_wdc800.csv,3691.0477646618983,$1.07
s20_d22_wdc900.csv,3652.7552412738983,$1.05
s4_d22_wdc100.csv,3615.972395424772,$1.11
