timestamp,power_in_watts,sm_clock
1756992007.5039449, 216.416, 1950
1756992007.5071852, 216.416, 1950
1756992007.5101433, 216.416, 1950
1756992007.5129948, 216.416, 1950
1756992007.5159714, 216.416, 1950
1756992007.5188346, 216.416, 1950
1756992007.521743, 216.416, 1950
1756992007.5250154, 216.416, 1935
1756992007.5293837, 216.416, 1935
1756992007.5324392, 216.416, 1935
1756992007.5353107, 216.416, 1935
1756992007.5381768, 216.416, 1935
1756992007.5410748, 216.416, 1935
1756992007.5442824, 216.416, 1950
1756992007.549372, 216.416, 1950
1756992007.5521924, 216.416, 1950
1756992007.5550215, 216.416, 1950
1756992007.5578632, 216.416, 1950
1756992007.5607483, 216.416, 1950
1756992007.563886, 216.416, 1950
1756992007.5672817, 216.416, 1950
1756992007.5701685, 216.416, 1950
1756992007.5730226, 216.416, 1950
1756992007.5759208, 216.416, 1950
1756992007.5789044, 215.969, 1950
1756992007.5821955, 215.969, 1950
1756992007.5855281, 215.969, 1950
1756992007.589121, 215.969, 1950
1756992007.5920856, 215.969, 1950
1756992007.5950165, 215.969, 1950
1756992007.597937, 215.969, 1950
1756992007.60084, 215.969, 1950
1756992007.6040637, 215.969, 1935
1756992007.609055, 215.969, 1935
1756992007.6119351, 215.969, 1935
1756992007.614745, 215.969, 1935
1756992007.6176572, 215.969, 1935
1756992007.6205168, 215.969, 1935
1756992007.623724, 215.969, 1950
1756992007.6290703, 215.969, 1950
1756992007.631975, 215.969, 1950
1756992007.6347811, 215.969, 1950
1756992007.63764, 215.969, 1950
1756992007.640515, 215.969, 1950
1756992007.6437192, 215.969, 1950
1756992007.6476214, 215.969, 1950
1756992007.6505313, 215.969, 1950
1756992007.6534424, 215.969, 1950
1756992007.6562977, 215.969, 1950
1756992007.6593044, 215.969, 1950
1756992007.66272, 215.969, 1950
1756992007.6674016, 215.969, 1950
1756992007.6709318, 215.969, 1950
1756992007.6742635, 215.969, 1950
1756992007.677725, 215.969, 1950
1756992007.6810265, 219.56, 1950
1756992007.6845908, 219.56, 1935
1756992007.689735, 219.56, 1935
1756992007.6927032, 219.56, 1935
1756992007.6955433, 219.56, 1935
1756992007.698394, 219.56, 1935
1756992007.7011976, 219.56, 1935
1756992007.704407, 219.56, 1950
1756992007.709428, 219.56, 1950
1756992007.7122679, 219.56, 1950
1756992007.7151744, 219.56, 1950
1756992007.7180142, 219.56, 1950
1756992007.7208512, 219.56, 1950
1756992007.7240224, 219.56, 1950
1756992007.727703, 219.56, 1950
1756992007.730835, 219.56, 1950
1756992007.7338116, 219.56, 1950
1756992007.73672, 219.56, 1950
1756992007.7398052, 219.56, 1950
1756992007.7432997, 219.56, 1950
1756992007.7476792, 219.56, 1950
1756992007.7508264, 219.56, 1950
1756992007.7538028, 219.56, 1950
1756992007.7567844, 219.56, 1950
1756992007.7597983, 219.56, 1950
1756992007.7630372, 219.56, 1935
1756992007.7690074, 219.56, 1935
1756992007.772144, 219.56, 1935
1756992007.775062, 219.56, 1935
1756992007.778, 220.472, 1935
1756992007.7809324, 220.472, 1935
1756992007.7840936, 220.472, 1950
1756992007.789097, 220.472, 1950
1756992007.7919216, 220.472, 1950
1756992007.7947073, 220.472, 1950
1756992007.797511, 220.472, 1950
1756992007.8003318, 220.472, 1950
1756992007.8035939, 220.472, 1950
1756992007.8071818, 220.472, 1950
1756992007.8101962, 220.472, 1950
1756992007.813033, 220.472, 1950
1756992007.8160572, 220.472, 1950
1756992007.8189652, 220.472, 1950
1756992007.8221989, 220.472, 1950
1756992007.8259876, 220.472, 1950
1756992007.8290973, 220.472, 1950
1756992007.8320196, 220.472, 1950
1756992007.8349328, 220.472, 1950
1756992007.8379445, 220.472, 1950
1756992007.8410528, 220.472, 1950
1756992007.8444147, 220.472, 1935
1756992007.8489, 220.472, 1935
1756992007.851973, 220.472, 1935
1756992007.8547688, 220.472, 1935
1756992007.857682, 220.472, 1935
1756992007.8605876, 220.472, 1935
1756992007.8637958, 220.472, 1950
1756992007.868821, 220.472, 1950
1756992007.871698, 220.472, 1950
1756992007.8745778, 220.472, 1950
1756992007.877409, 220.472, 1950
1756992007.8803885, 217.077, 1950
1756992007.8838155, 217.077, 1950
1756992007.8878148, 217.077, 1950
1756992007.8906891, 217.077, 1950
1756992007.8936691, 217.077, 1950
1756992007.8965137, 217.077, 1950
1756992007.8994474, 217.077, 1950
1756992007.9028423, 217.077, 1950
1756992007.9061925, 217.077, 1950
1756992007.90946, 217.077, 1950
1756992007.9124377, 217.077, 1950
1756992007.915354, 217.077, 1950
1756992007.9183369, 217.077, 1950
1756992007.921377, 217.077, 1950
1756992007.924709, 217.077, 1935
1756992007.929114, 217.077, 1935
1756992007.9322128, 217.077, 1935
1756992007.9350507, 217.077, 1935
1756992007.937935, 217.077, 1935
1756992007.9411113, 217.077, 1935
1756992007.944584, 217.077, 1950
1756992007.949269, 217.077, 1950
1756992007.952329, 217.077, 1950
1756992007.9555397, 217.077, 1950
1756992007.9586477, 217.077, 1950
1756992007.961786, 217.077, 1950
1756992007.9649713, 217.077, 1950
1756992007.968058, 217.077, 1950
1756992007.9709904, 217.077, 1950
1756992007.9777558, 215.937, 1950
1756992007.9806447, 215.937, 1950
1756992007.983999, 215.937, 1950
1756992007.9876063, 215.937, 1950
1756992007.990793, 215.937, 1950
1756992007.9937587, 215.937, 1950
1756992007.9967897, 215.937, 1950
1756992007.999859, 215.937, 1950
1756992008.0031304, 215.937, 1935
1756992008.0089886, 215.937, 1935
1756992008.0121326, 215.937, 1935
1756992008.0150468, 215.937, 1935
1756992008.0178847, 215.937, 1935
1756992008.02081, 215.937, 1935
1756992008.0241783, 215.937, 1950
1756992008.0291998, 215.937, 1950
1756992008.0321045, 215.937, 1950
1756992008.0350025, 215.937, 1950
1756992008.0378792, 215.937, 1950
1756992008.0407548, 215.937, 1950
1756992008.0441835, 215.937, 1950
1756992008.0475578, 215.937, 1950
1756992008.05064, 215.937, 1950
1756992008.053503, 215.937, 1950
1756992008.0564167, 215.937, 1950
1756992008.0594513, 215.937, 1950
1756992008.0628273, 215.937, 1950
