timestamp,power_in_watts,graphic_clock,memory_clock,sm_clock,step
1736190316.6395404,227.331,2790,10251,2790,backward
1736190316.6433084,227.331,2790,10251,2790,backward
1736190316.6467974,227.331,2790,10251,2790,backward
1736190316.6498652,227.331,2790,10251,2790,backward
1736190316.6529148,227.331,2790,10251,1863,backward
1736190316.6559365,227.331,2790,10251,2790,backward
1736190316.6596007,227.331,2790,10251,2790,backward
1736190316.663551,227.331,2790,10251,2790,backward
1736190316.6669643,227.331,2790,10251,2790,backward
1736190316.6700015,227.331,2790,10251,2790,backward
1736190316.6730225,227.331,2790,10251,2790,backward
1736190316.6760845,227.331,2790,10251,2790,backward
1736190316.6797223,227.331,2790,10251,2790,backward
1736190316.6836574,227.331,2790,10251,2790,backward
1736190316.6933565,227.331,2790,10251,2790,to_device
1736190316.6966228,227.331,2790,10251,2790,forward
1736190316.7006006,227.331,2790,10251,2790,forward
1736190316.710719,227.482,2790,10251,2790,forward
1736190316.7137988,227.482,2790,10251,2790,forward
1736190316.716838,227.482,2790,10251,2790,forward
1736190316.7208445,227.482,2790,10251,2790,forward
1736190316.726338,227.482,2790,10251,2790,forward
1736190316.7294872,227.482,2790,10251,1863,backward
1736190316.7325134,227.482,2790,10251,2790,backward
1736190316.7355518,227.482,2790,10251,2790,backward
1736190316.7391148,227.482,2790,10251,2790,backward
1736190316.7427542,227.482,2790,10251,2790,backward
1736190316.746631,227.482,2790,10251,2790,backward
1736190316.749712,227.482,2790,10251,2790,backward
1736190316.752803,227.482,2790,10251,2790,backward
1736190316.755897,227.482,2790,10251,2790,backward
1736190316.7597804,227.482,2790,10251,2790,backward
1736190316.763537,227.482,2790,10251,2790,backward
1736190316.7669742,227.482,2790,10251,2790,backward
1736190316.770018,227.482,2790,10251,2790,backward
1736190316.773069,227.482,2790,10251,2790,backward
1736190316.7760954,227.482,2790,10251,2790,backward
1736190316.7799554,227.482,2790,10251,2790,backward
1736190316.7836642,227.482,2790,10251,2790,backward
1736190316.7933424,227.482,2790,10251,2790,to_device
1736190316.7965825,227.482,2790,10251,2790,forward
1736190316.8005953,227.482,2790,10251,2790,forward
1736190316.809953,227.204,2790,10251,2790,forward
1736190316.813042,227.204,2790,10251,2790,forward
1736190316.8161492,227.204,2790,10251,2790,forward
1736190316.8199346,227.204,2790,10251,2790,forward
1736190316.823834,227.204,2790,10251,2790,forward
1736190316.827189,227.204,2790,10251,2790,forward
1736190316.8302069,227.204,2790,10251,2790,backward
1736190316.833241,227.204,2790,10251,2790,backward
1736190316.836276,227.204,2790,10251,2790,backward
1736190316.83996,227.204,2790,10251,2790,backward
1736190316.843786,227.204,2790,10251,2790,backward
1736190316.8469567,227.204,2790,10251,2790,backward
1736190316.850016,227.204,2790,10251,2790,backward
1736190316.8530486,227.204,2790,10251,2790,backward
1736190316.8560932,227.204,2790,10251,2790,backward
1736190316.8598416,227.204,2790,10251,2790,backward
1736190316.8636532,227.204,2790,10251,2790,backward
1736190316.8672493,227.204,2790,10251,2790,backward
1736190316.8702826,227.204,2790,10251,2790,backward
1736190316.8733168,227.204,2790,10251,2790,backward
1736190316.8763862,227.204,2790,10251,2790,backward
1736190316.8802843,227.204,2790,10251,2790,backward
1736190316.88422,227.204,2790,10251,2790,backward
1736190316.887531,227.204,2790,10251,2790,backward
1736190316.8936777,227.204,2790,10251,2790,to_device
1736190316.8969336,227.204,2790,10251,2790,forward
1736190316.900896,227.204,2790,10251,2790,forward
1736190316.910549,227.222,2790,10251,2790,forward
1736190316.9136128,227.222,2790,10251,2790,forward
1736190316.9166536,227.222,2790,10251,2790,forward
1736190316.920319,227.222,2790,10251,2790,forward
1736190316.9241824,227.222,2790,10251,2790,forward
1736190316.9273014,227.222,2790,10251,2790,forward
1736190316.9303362,227.222,2790,10251,2790,backward
1736190316.9333668,227.222,2790,10251,2790,backward
1736190316.9365273,227.222,2790,10251,2790,backward
